id,city,year,weekofyear,total_cases
0,sj,1990,18,24
1,sj,1990,19,26
2,sj,1990,20,30
3,sj,1990,21,29
4,sj,1990,22,36
5,sj,1990,23,35
6,sj,1990,24,35
7,sj,1990,25,41
8,sj,1990,26,39
9,sj,1990,27,38
10,sj,1990,28,36
11,sj,1990,29,35
12,sj,1990,30,35
13,sj,1990,31,38
14,sj,1990,32,39
15,sj,1990,33,43
16,sj,1990,34,38
17,sj,1990,35,41
18,sj,1990,36,38
19,sj,1990,37,42
20,sj,1990,38,40
21,sj,1990,39,38
22,sj,1990,40,43
23,sj,1990,41,44
24,sj,1990,42,44
25,sj,1990,43,34
26,sj,1990,44,39
27,sj,1990,45,40
28,sj,1990,46,35
29,sj,1990,47,30
30,sj,1990,48,29
31,sj,1990,49,27
32,sj,1990,50,23
33,sj,1990,51,25
34,sj,1990,52,23
35,sj,1991,1,17
36,sj,1991,2,20
37,sj,1991,3,20
38,sj,1991,4,19
39,sj,1991,5,18
40,sj,1991,6,18
41,sj,1991,7,17
42,sj,1991,8,23
43,sj,1991,9,19
44,sj,1991,10,22
45,sj,1991,11,22
46,sj,1991,12,22
47,sj,1991,13,22
48,sj,1991,14,22
49,sj,1991,15,19
50,sj,1991,16,25
51,sj,1991,17,27
52,sj,1991,18,28
53,sj,1991,19,30
54,sj,1991,20,28
55,sj,1991,21,36
56,sj,1991,22,34
57,sj,1991,23,32
58,sj,1991,24,35
59,sj,1991,25,37
60,sj,1991,26,36
61,sj,1991,27,38
62,sj,1991,28,35
63,sj,1991,29,39
64,sj,1991,30,35
65,sj,1991,31,38
66,sj,1991,32,39
67,sj,1991,33,39
68,sj,1991,34,41
69,sj,1991,35,38
70,sj,1991,36,42
71,sj,1991,37,41
72,sj,1991,38,42
73,sj,1991,39,41
74,sj,1991,40,39
75,sj,1991,41,36
76,sj,1991,42,39
77,sj,1991,43,35
78,sj,1991,44,37
79,sj,1991,45,32
80,sj,1991,46,33
81,sj,1991,47,30
82,sj,1991,48,29
83,sj,1991,49,29
84,sj,1991,50,27
85,sj,1991,51,24
86,sj,1991,52,20
87,sj,1992,1,20
88,sj,1992,2,23
89,sj,1992,3,21
90,sj,1992,4,18
91,sj,1992,5,20
92,sj,1992,6,17
93,sj,1992,7,21
94,sj,1992,8,22
95,sj,1992,9,21
96,sj,1992,10,21
97,sj,1992,11,23
98,sj,1992,12,22
99,sj,1992,13,22
100,sj,1992,14,25
101,sj,1992,15,26
102,sj,1992,16,29
103,sj,1992,17,27
104,sj,1992,18,24
105,sj,1992,19,29
106,sj,1992,20,29
107,sj,1992,21,51
108,sj,1992,22,36
109,sj,1992,23,35
110,sj,1992,24,36
111,sj,1992,25,35
112,sj,1992,26,40
113,sj,1992,27,37
114,sj,1992,28,36
115,sj,1992,29,36
116,sj,1992,30,35
117,sj,1992,31,36
118,sj,1992,32,34
119,sj,1992,33,38
120,sj,1992,34,36
121,sj,1992,35,37
122,sj,1992,36,40
123,sj,1992,37,40
124,sj,1992,38,38
125,sj,1992,39,39
126,sj,1992,40,36
127,sj,1992,41,41
128,sj,1992,42,38
129,sj,1992,43,39
130,sj,1992,44,37
131,sj,1992,45,40
132,sj,1992,46,32
133,sj,1992,47,32
134,sj,1992,48,36
135,sj,1992,49,31
136,sj,1992,50,29
137,sj,1992,51,26
138,sj,1992,52,24
139,sj,1993,53,24
140,sj,1993,1,25
141,sj,1993,2,22
142,sj,1993,3,20
143,sj,1993,4,18
144,sj,1993,5,27
145,sj,1993,6,19
146,sj,1993,7,24
147,sj,1993,8,22
148,sj,1993,9,20
149,sj,1993,10,19
150,sj,1993,11,25
151,sj,1993,12,26
152,sj,1993,13,26
153,sj,1993,14,28
154,sj,1993,15,30
155,sj,1993,16,21
156,sj,1993,17,32
157,sj,1993,18,31
158,sj,1993,19,32
159,sj,1993,20,35
160,sj,1993,21,43
161,sj,1993,22,37
162,sj,1993,23,44
163,sj,1993,24,35
164,sj,1993,25,37
165,sj,1993,26,38
166,sj,1993,27,37
167,sj,1993,28,36
168,sj,1993,29,38
169,sj,1993,30,41
170,sj,1993,31,39
171,sj,1993,32,38
172,sj,1993,33,41
173,sj,1993,34,39
174,sj,1993,35,40
175,sj,1993,36,39
176,sj,1993,37,39
177,sj,1993,38,40
178,sj,1993,39,41
179,sj,1993,40,40
180,sj,1993,41,40
181,sj,1993,42,37
182,sj,1993,43,40
183,sj,1993,44,38
184,sj,1993,45,33
185,sj,1993,46,32
186,sj,1993,47,33
187,sj,1993,48,31
188,sj,1993,49,31
189,sj,1993,50,28
190,sj,1993,51,25
191,sj,1994,52,25
192,sj,1994,1,23
193,sj,1994,2,23
194,sj,1994,3,24
195,sj,1994,4,23
196,sj,1994,5,23
197,sj,1994,6,23
198,sj,1994,7,21
199,sj,1994,8,24
200,sj,1994,9,21
201,sj,1994,10,22
202,sj,1994,11,22
203,sj,1994,12,24
204,sj,1994,13,27
205,sj,1994,14,25
206,sj,1994,15,25
207,sj,1994,16,23
208,sj,1994,17,27
209,sj,1994,18,31
210,sj,1994,19,30
211,sj,1994,20,33
212,sj,1994,21,35
213,sj,1994,22,35
214,sj,1994,23,34
215,sj,1994,24,34
216,sj,1994,25,35
217,sj,1994,26,36
218,sj,1994,27,36
219,sj,1994,28,33
220,sj,1994,29,33
221,sj,1994,30,36
222,sj,1994,31,35
223,sj,1994,32,35
224,sj,1994,33,37
225,sj,1994,34,37
226,sj,1994,35,41
227,sj,1994,36,38
228,sj,1994,37,39
229,sj,1994,38,37
230,sj,1994,39,36
231,sj,1994,40,38
232,sj,1994,41,39
233,sj,1994,42,37
234,sj,1994,43,37
235,sj,1994,44,35
236,sj,1994,45,37
237,sj,1994,46,34
238,sj,1994,47,36
239,sj,1994,48,30
240,sj,1994,49,29
241,sj,1994,50,29
242,sj,1994,51,28
243,sj,1995,52,28
244,sj,1995,1,22
245,sj,1995,2,24
246,sj,1995,3,19
247,sj,1995,4,17
248,sj,1995,5,19
249,sj,1995,6,22
250,sj,1995,7,23
251,sj,1995,8,25
252,sj,1995,9,23
253,sj,1995,10,20
254,sj,1995,11,22
255,sj,1995,12,19
256,sj,1995,13,21
257,sj,1995,14,20
258,sj,1995,15,28
259,sj,1995,16,26
260,sj,1995,17,25
261,sj,1995,18,30
262,sj,1995,19,30
263,sj,1995,20,30
264,sj,1995,21,32
265,sj,1995,22,37
266,sj,1995,23,37
267,sj,1995,24,36
268,sj,1995,25,41
269,sj,1995,26,41
270,sj,1995,27,42
271,sj,1995,28,43
272,sj,1995,29,41
273,sj,1995,30,44
274,sj,1995,31,45
275,sj,1995,32,43
276,sj,1995,33,44
277,sj,1995,34,43
278,sj,1995,35,44
279,sj,1995,36,42
280,sj,1995,37,48
281,sj,1995,38,46
282,sj,1995,39,44
283,sj,1995,40,39
284,sj,1995,41,40
285,sj,1995,42,37
286,sj,1995,43,37
287,sj,1995,44,37
288,sj,1995,45,31
289,sj,1995,46,31
290,sj,1995,47,32
291,sj,1995,48,33
292,sj,1995,49,30
293,sj,1995,50,29
294,sj,1995,51,27
295,sj,1996,1,23
296,sj,1996,2,26
297,sj,1996,3,25
298,sj,1996,4,25
299,sj,1996,5,21
300,sj,1996,6,21
301,sj,1996,7,21
302,sj,1996,8,23
303,sj,1996,9,23
304,sj,1996,10,22
305,sj,1996,11,24
306,sj,1996,12,22
307,sj,1996,13,26
308,sj,1996,14,21
309,sj,1996,15,27
310,sj,1996,16,22
311,sj,1996,17,25
312,sj,1996,18,26
313,sj,1996,19,24
314,sj,1996,20,26
315,sj,1996,21,28
316,sj,1996,22,34
317,sj,1996,23,37
318,sj,1996,24,31
319,sj,1996,25,31
320,sj,1996,26,35
321,sj,1996,27,34
322,sj,1996,28,36
323,sj,1996,29,36
324,sj,1996,30,31
325,sj,1996,31,33
326,sj,1996,32,37
327,sj,1996,33,36
328,sj,1996,34,33
329,sj,1996,35,36
330,sj,1996,36,37
331,sj,1996,37,39
332,sj,1996,38,41
333,sj,1996,39,39
334,sj,1996,40,34
335,sj,1996,41,34
336,sj,1996,42,36
337,sj,1996,43,41
338,sj,1996,44,34
339,sj,1996,45,34
340,sj,1996,46,36
341,sj,1996,47,30
342,sj,1996,48,25
343,sj,1996,49,23
344,sj,1996,50,20
345,sj,1996,51,22
346,sj,1996,52,20
347,sj,1997,1,29
348,sj,1997,2,18
349,sj,1997,3,21
350,sj,1997,4,17
351,sj,1997,5,20
352,sj,1997,6,18
353,sj,1997,7,19
354,sj,1997,8,20
355,sj,1997,9,20
356,sj,1997,10,19
357,sj,1997,11,18
358,sj,1997,12,20
359,sj,1997,13,21
360,sj,1997,14,20
361,sj,1997,15,22
362,sj,1997,16,22
363,sj,1997,17,29
364,sj,1997,18,29
365,sj,1997,19,32
366,sj,1997,20,31
367,sj,1997,21,31
368,sj,1997,22,32
369,sj,1997,23,35
370,sj,1997,24,36
371,sj,1997,25,37
372,sj,1997,26,40
373,sj,1997,27,36
374,sj,1997,28,41
375,sj,1997,29,39
376,sj,1997,30,40
377,sj,1997,31,36
378,sj,1997,32,38
379,sj,1997,33,37
380,sj,1997,34,40
